layer,src0_name,n_tokens,top_k,n_expert,ids
6,"blk.6.ffn_down_exps.weight",1,8,232,177 114 137 70 52 17 149 186
7,"blk.7.ffn_gate_exps.weight",1,8,232,136 24 7 223 11 78 222 74
7,"blk.7.ffn_up_exps.weight",1,8,232,136 24 7 223 11 78 222 74
7,"blk.7.ffn_down_exps.weight",1,8,232,136 24 7 223 11 78 222 74
8,"blk.8.ffn_gate_exps.weight",1,8,232,227 39 40 143 60 37 56 191
8,"blk.8.ffn_up_exps.weight",1,8,232,227 39 40 143 60 37 56 191
8,"blk.8.ffn_down_exps.weight",1,8,232,227 39 40 143 60 37 56 191
9,"blk.9.ffn_gate_exps.weight",1,8,232,183 184 49 110 74 88 113 42
9,"blk.9.ffn_up_exps.weight",1,8,232,183 184 49 110 74 88 113 42
9,"blk.9.ffn_down_exps.weight",1,8,232,183 184 49 110 74 88 113 42
10,"blk.10.ffn_gate_exps.weight",1,8,232,201 77 64 30 107 194 209 108
10,"blk.10.ffn_up_exps.weight",1,8,232,201 77 64 30 107 194 209 108
10,"blk.10.ffn_down_exps.weight",1,8,232,201 77 64 30 107 194 209 108
11,"blk.11.ffn_gate_exps.weight",1,8,232,16 89 26 20 224 5 17 12
11,"blk.11.ffn_up_exps.weight",1,8,232,16 89 26 20 224 5 17 12
11,"blk.11.ffn_down_exps.weight",1,8,232,16 89 26 20 224 5 17 12
12,"blk.12.ffn_gate_exps.weight",1,8,232,16 22 25 41 24 135 117 68
12,"blk.12.ffn_up_exps.weight",1,8,232,16 22 25 41 24 135 117 68
12,"blk.12.ffn_down_exps.weight",1,8,232,16 22 25 41 24 135 117 68
13,"blk.13.ffn_gate_exps.weight",1,8,232,158 29 15 19 80 1 35 125
13,"blk.13.ffn_up_exps.weight",1,8,232,158 29 15 19 80 1 35 125
13,"blk.13.ffn_down_exps.weight",1,8,232,158 29 15 19 80 1 35 125
14,"blk.14.ffn_gate_exps.weight",1,8,232,144 13 19 78 5 226 23 11
14,"blk.14.ffn_up_exps.weight",1,8,232,144 13 19 78 5 226 23 11
14,"blk.14.ffn_down_exps.weight",1,8,232,144 13 19 78 5 226 23 11
15,"blk.15.ffn_gate_exps.weight",1,8,232,62 70 205 42 29 145 59 34
15,"blk.15.ffn_up_exps.weight",1,8,232,62 70 205 42 29 145 59 34
15,"blk.15.ffn_down_exps.weight",1,8,232,62 70 205 42 29 145 59 34
16,"blk.16.ffn_gate_exps.weight",1,8,232,62 179 209 117 92 160 119 170
16,"blk.16.ffn_up_exps.weight",1,8,232,62 179 209 117 92 160 119 170
16,"blk.16.ffn_down_exps.weight",1,8,232,62 179 209 117 92 160 119 170
17,"blk.17.ffn_gate_exps.weight",1,8,232,90 129 15 153 149 142 195 17
17,"blk.17.ffn_up_exps.weight",1,8,232,90 129 15 153 149 142 195 17
17,"blk.17.ffn_down_exps.weight",1,8,232,90 129 15 153 149 142 195 17
18,"blk.18.ffn_gate_exps.weight",1,8,232,98 135 153 166 132 42 149 91
18,"blk.18.ffn_up_exps.weight",1,8,232,98 135 153 166 132 42 149 91
18,"blk.18.ffn_down_exps.weight",1,8,232,98 135 153 166 132 42 149 91
19,"blk.19.ffn_gate_exps.weight",1,8,232,102 187 76 128 61 48 214 52
19,"blk.19.ffn_up_exps.weight",1,8,232,102 187 76 128 61 48 214 52
19,"blk.19.ffn_down_exps.weight",1,8,232,102 187 76 128 61 48 214 52
20,"blk.20.ffn_gate_exps.weight",1,8,232,191 215 195 105 213 170 202 226
20,"blk.20.ffn_up_exps.weight",1,8,232,191 215 195 105 213 170 202 226
20,"blk.20.ffn_down_exps.weight",1,8,232,191 215 195 105 213 170 202 226
21,"blk.21.ffn_gate_exps.weight",1,8,232,13 172 103 212 160 201 85 226
21,"blk.21.ffn_up_exps.weight",1,8,232,13 172 103 212 160 201 85 226
21,"blk.21.ffn_down_exps.weight",1,8,232,13 172 103 212 160 201 85 226
22,"blk.22.ffn_gate_exps.weight",1,8,232,93 110 210 56 83 188 190 73
22,"blk.22.ffn_up_exps.weight",1,8,232,93 110 210 56 83 188 190 73
22,"blk.22.ffn_down_exps.weight",1,8,232,93 110 210 56 83 188 190 73
23,"blk.23.ffn_gate_exps.weight",1,8,232,78 38 79 132 21 63 179 50
23,"blk.23.ffn_up_exps.weight",1,8,232,78 38 79 132 21 63 179 50
23,"blk.23.ffn_down_exps.weight",1,8,232,78 38 79 132 21 63 179 50
24,"blk.24.ffn_gate_exps.weight",1,8,232,156 190 223 145 170 72 130 137
24,"blk.24.ffn_up_exps.weight",1,8,232,156 190 223 145 170 72 130 137
24,"blk.24.ffn_down_exps.weight",1,8,232,156 190 223 145 170 72 130 137
25,"blk.25.ffn_gate_exps.weight",1,8,232,23 148 133 160 79 200 12 113
25,"blk.25.ffn_up_exps.weight",1,8,232,23 148 133 160 79 200 12 113
25,"blk.25.ffn_down_exps.weight",1,8,232,23 148 133 160 79 200 12 113
26,"blk.26.ffn_gate_exps.weight",1,8,232,181 52 172 219 29 41 117 35
26,"blk.26.ffn_up_exps.weight",1,8,232,181 52 172 219 29 41 117 35
26,"blk.26.ffn_down_exps.weight",1,8,232,181 52 172 219 29 41 117 35
27,"blk.27.ffn_gate_exps.weight",1,8,232,162 148 223 173 11 95 132 38
27,"blk.27.ffn_up_exps.weight",1,8,232,162 148 223 173 11 95 132 38
27,"blk.27.ffn_down_exps.weight",1,8,232,162 148 223 173 11 95 132 38
0,"blk.0.ffn_gate_exps.weight",1,8,232,63 78 35 53 101 127 54 134
0,"blk.0.ffn_up_exps.weight",1,8,232,63 78 35 53 101 127 54 134
0,"blk.0.ffn_down_exps.weight",1,8,232,63 78 35 53 101 127 54 134
1,"blk.1.ffn_gate_exps.weight",1,8,232,113 160 17 83 135 62 175 183
1,"blk.1.ffn_up_exps.weight",1,8,232,113 160 17 83 135 62 175 183
1,"blk.1.ffn_down_exps.weight",1,8,232,113 160 17 83 135 62 175 183
2,"blk.2.ffn_gate_exps.weight",1,8,232,131 145 230 148 176 58 142 192
2,"blk.2.ffn_up_exps.weight",1,8,232,131 145 230 148 176 58 142 192
